Date,Total Scheduled ,Total Absent,Open Time,AUX01 Paid Break,AUX01 Unpaid Lunch,Meeting-Unavail-Paid,Client ACD - Coaching,Absent,Unconfirmed LOA,MIA,Late-Tardy-Sign Off,Holiday-Float-Pd,On Loan to Program C,VZN Training Mod 2L,Personal Off Phon-Pd,Sick-Paid,MTO,No Call No Show-Unp,Sick-Unpaid,Leave-Personal-Unp,Training-SITEL-Pd,Excessive Time Off,Idle,V - Back Office Work,Borrowed A - Signon,OJT/Mentor-Paid,Borrowed B - Signon,CapOne - Virtual 2,SHIFT - V - Back Office Work,Month,DayOfWeek,IsWeekend
2023-01-30,4016.783333303,180.616666665,2360.716666645,238.25,526,282.25,46.75,40.0,48.166666666,7.85,10.066666666,57.333333333,23.549999999,8.5,0.0,12.000000001,122.383333332,0.0,62.533333333,39.833333333,20.0,5.283333335,34.266666667,453.349999998,109.93333333300001,21.333333333,0.0,0.0,0.0,1,0,0
2023-01-31,4511.749999965,122.966666665,2157.983333313,274.5,596,272.999999999,60.0,8.0,40.833333333,8.800000001,7.266666664,62.499999998999996,58.333333332,0.0,1.3166666660000002,21.55,136.533333334,8.0,24.516666667000003,41.0,0.0,3.900000001,208.099999989,839.566666674,206.433333333,28.833333333,0.0,0.0,0.0,1,1,0
2023-02-01,4603.1,148.86,2359.816666644,276.75,618,188.833333333,61.25,8.0,50.516666666,12.816666666,8.633333332,63.499999998999996,53.333333333,8.5,4.516666667,28.533333333,115.833333333,8.5,28.633333334,41.0,20.0,3.333333334,321.516666666,829.649999994,99.399999998,34.333333333,0.0,0.0,0.0,2,2,0
2023-02-02,4203.28,134.31,2155.9666666489998,256.25,558,156.933333334,53.0,16.5,39.666666666,9.133333333,5.416666667,56.666666666,52.166666666,8.5,1.0,14.533333333,77.583333333,0.0,47.316666667,8.0,20.0,1.816666667,681.166666662,463.783333336,87.083333332,35.333333333,0.0,0.0,0.0,2,3,0
2023-02-03,4560.92,189.45,2362.316666657,270.25,623,103.06666666699999,44.0,24.5,48.833333333,6.549999999,6.516666667,65.833333333,63.999999998999996,8.5,0.333333333,11.366666667,123.0,15.333333332999999,67.916666666,49.5,20.0,5.583333331,352.66666666599997,745.000000003,106.216666664,37.333333333,0.0,0.0,0.0,2,4,0
2023-02-04,2425.32,106.54,1206.966666653,145.75,352,39.916666667,17.0,30.499999999,8.0,5.85,9.183333332,32.333333333,53.333333333,0.0,0.0,5.733333334,49.016666667,0.0,47.299999999,34.0,0.0,2.733333335,59.033333334,487.016666663,35.966666666,14.5,0.0,0.0,0.0,2,5,1
2023-02-05,1463.37,77.73,1098.599999989,86.5,202,84.0,20.0,8.5,23.833333333,2.983333332,2.516666665,17.0,17.666666667,16.5,0.366666667,8.0,43.166666667,0.0,31.933333333,8.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,1
2023-02-06,4108.57,119.233333331,2444.283333317,236.75,533,84.0,45.25,56.166666666,63.783333333,5.433333333,9.099999997,25.5,21.333333333,16.5,3.683333334,25.833333333,103.333333333,8.0,36.8,32.5,18.0,5.666666666,35.75,281.983333331,114.633333333,22.333333333,0.0,0.0,0.0,2,0,0
2023-02-07,4664.6,119.233333331,2155.716666654,274.5,609,201.5,71.5,48.333333333,57.333333333,5.866666666,9.883333332,29.0,66.749999999,0.0,7.966666665,18.249999999,119.283333334,7.333333333,36.8,32.5,53.416666667,4.7,213.883333336,799.500000004,199.5,35.833333333,0.0,0.0,0.0,2,1,0
2023-02-08,4617.49,220.71,2193.349999985,274.25,612,180.0,64.25,32.5,76.499999999,5.433333333999999,12.816666665,42.0,52.666666666,14.366666667,0.0,31.166666666999998,132.9,0.0,62.316666665999996,32.5,36.0,3.200000001,362.149999992,756.916666667,96.31666666699999,33.333333333,0.0,0.0,0.0,2,2,0
2023-02-09,4320.49,213.24,2080.016666644,257.25,560,165.05,50.25,47.666666666,57.833333333,8.733333333000001,9.950000001,33.5,29.5,8.5,0.0,26.033333333,98.583333333,7.333333333,55.716666665,32.5,0.0,4.033333335,719.233333331,432.383333334,103.70000000099999,28.833333333,0.0,0.0,0.0,2,3,0
2023-02-10,4565.17,239.73,2246.049999987,267.5,611,155.5,36.5,49.5,19.5,3.916666667,12.066666664,25.0,43.583333333,8.5,10.55,11.25,94.916666666,23.166666665999998,46.666666666,24.0,0.0,5.450000002,298.600000001,840.600000003,104.583333335,35.833333333,0.0,0.0,0.0,2,4,0
2023-02-11,2740.11,127.49333333,1182.099999991,164.5,376,37.0,18.25,39.666666666,16.5,6.683333334,10.649999999,25.0,61.666666666,8.0,4.5,4.0,97.633333333,8.0,42.0,8.5,35.65,1.15,31.8,662.233333326,43.949999999,23.0,0.0,0.0,0.0,2,5,1
2023-02-12,1508.05,85.09,1096.116666654,90.25,206,93.0,23.5,7.333333333,39.666666666,4.3833333329999995,1.766666666,12.166666667,30.549999999,16.5,0.216666667,12.5,54.833333333,0.0,19.466666666000002,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,1
